date,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation
2021-09-15,26.40575,91.72537821,20.52572646,3.0
2021-09-16,26.62866667,89.94498392,16.8023804,1.15
2021-09-17,26.61825,89.74610613,21.79681058,1.116666667
2021-09-18,26.98908333,84.95376075,20.83473242,0.2
2021-09-19,26.54741667,86.84251758,20.88112692,0.320833333
2021-09-20,26.81616667,84.79351863,17.6906485,0.104166667
2021-09-21,26.82241667,83.98990404,15.18832052,0.125
2021-09-22,26.32658333,90.01856308,13.43853181,0.179166667
2021-09-23,26.33491667,91.19125113,10.66439113,0.366666667
2021-09-24,26.59533333,90.14379742,9.579111279,0.520833333
2021-09-25,26.05366667,91.49472296,11.16102079,0.841666667
2021-09-26,25.92866667,92.0904245,9.055459646,0.529166667
2021-09-27,26.42658333,90.39832004,7.322573742,0.241666667
2021-09-28,26.70158333,86.78435529,8.411229458,0.070833333
2021-09-29,26.662,85.82502021,7.918539104,0.095833333
2021-09-30,26.712,84.77314175,6.485357229,0.116666667
2021-01-10,25.837,90.26989017,5.542269738,0.208333333
2021-02-10,26.05366667,90.27830175,13.81866005,1.208333333
2021-03-10,26.30575,90.07828542,22.53685192,0.725
2021-04-10,26.60366667,89.63088463,16.46211535,0.1125
2021-05-10,27.14741667,88.91347579,7.074320858,0.004166667
2021-06-10,27.10575,89.28676879,7.872653113,0.033333333
2021-07-10,27.8495,88.76486642,8.462351646,0.008333333
2021-08-10,28.12241667,88.23821504,9.237420887,0.0125
2021-09-10,28.2745,87.7094685,9.933284054,0.025
2021-10-10,28.26616667,88.74430679,6.297465163,0.308333333
2021-11-10,28.40366667,85.96149217,7.568242683,0.175
2021-12-10,27.27866667,88.24959358,8.626327267,0.208333333
2021-10-13,27.25783333,88.09101538,7.189768546,0.2875
2021-10-14,27.16408333,87.56269742,5.5401316,0.1875
2021-10-15,26.96408333,89.18639129,5.700830083,0.608333333
2021-10-16,27.9245,87.26801325,6.337988967,0.029166667
2021-10-17,28.18491667,86.06748792,5.650735396,0.066666667
2021-10-18,28.587,76.45850017,9.287645425,0.029166667
2021-10-19,28.21408358,68.85570654,9.774849575,0.0
2021-10-20,27.68491667,70.507008,10.29177314,0.0
2021-10-21,27.762,75.63144442,9.776063063,0.0
2021-10-22,27.887,79.73861271,12.07149424,0.054166667
2021-10-23,26.5495,83.24653696,7.083964488,0.0125
2021-10-24,26.40366667,83.71957746,10.21197893,0.0
2021-10-25,27.04533333,77.71928521,9.518228808,0.0
2021-10-26,27.20783346,74.56953271,9.535706096,0.0
2021-10-27,26.65783333,78.22808042,10.81491951,0.0
2021-10-28,26.1995,80.01820538,9.4838593,0.0
2021-10-29,26.11408333,78.86590783,11.13516005,0.0
2021-10-30,27.17241667,72.5725195,9.663728733,0.0
2021-10-31,27.66825013,60.70042742,11.27653656,0.0
2021-01-11,28.04533333,55.82486713,14.11057483,0.0
2021-02-11,27.58075012,43.38297283,15.15948692,0.0
2021-03-11,27.7995,46.56959346,13.87018797,0.0
2021-04-11,27.23491679,59.57340338,10.49364242,0.0
2021-05-11,27.12241679,68.01860779,8.166960342,0.0
2021-06-11,27.90158358,65.92575138,9.528301108,0.0
2021-07-11,28.09741692,57.43757442,11.28452085,0.0
2021-08-11,28.15991667,63.16420429,8.991008375,0.0
2021-09-11,27.99116679,72.76184667,9.654609654,0.070833333
2021-10-11,26.56825,79.52614092,8.271324629,0.0
2021-11-11,26.67866667,74.65087163,8.35152905,0.0
2021-12-11,26.43075,67.87937229,10.1297933,0.0
2021-11-13,26.38700013,56.81632463,11.38562243,0.0
2021-11-14,26.08075012,54.34203163,13.37797443,0.0
2021-11-15,26.43491667,46.28740592,13.3105701,0.0
2021-11-16,26.76200013,49.19845504,13.00583009,0.0
2021-11-17,27.16825013,61.87637654,11.2060795,0.0
2021-11-18,28.22241692,62.54302183,12.0498655,0.0
2021-11-19,27.75366679,68.67348821,12.15293308,0.0
2021-11-20,28.64116679,67.82246221,10.79772089,0.0
2021-11-21,27.16825013,79.82351575,6.639176146,0.179166667
2021-11-22,26.49325,85.063961,7.151597475,0.0
2021-11-23,27.00158333,84.43533275,7.217924979,0.029166667
2021-11-24,28.25158358,77.75037229,8.386447404,0.05
2021-11-25,27.54741667,82.14298821,9.007261675,0.325
2021-11-26,26.7995,86.83290275,6.590625025,0.095833333
2021-11-27,27.46408333,86.20710546,9.008707267,0.0
2021-11-28,27.8995,79.45983521,8.868149554,0.0
2021-11-29,27.84950013,70.62933217,9.156906046,0.0
2021-11-30,26.94741692,74.96240167,8.141225613,0.0
2021-01-12,26.70366692,71.24505567,8.495714029,0.0
2021-02-12,26.05991679,58.50604396,9.217870679,0.0
2021-03-12,26.65783346,55.52253813,9.960173725,0.0
2021-04-12,27.37241667,61.27175742,8.570577013,0.066666667
2021-05-12,22.18283333,83.61361567,14.12238405,3.166666667
2021-06-12,23.03283333,90.07214112,9.740221063,0.854166667
2021-07-12,24.0995,89.26523729,6.110985767,0.033333333
2021-08-12,24.34325,87.99318996,6.462565242,0.004166667
2021-09-12,23.89741667,88.04598608,5.760383321,0.008333333
2021-10-12,24.88908333,78.09801367,10.0170336,0.0
2021-11-12,25.59116667,71.71837521,10.1590255,0.0
2021-12-12,25.95783333,65.21149133,11.67764678,0.0
2021-12-13,25.60991667,69.74370242,10.41335853,0.0
2021-12-14,25.82658333,69.14692371,10.59554105,0.0
2021-12-15,25.337,72.15661221,9.716347946,0.0
2021-12-16,25.237,70.40535721,9.328154413,0.0
2021-12-17,24.38908333,69.89178317,8.300430367,0.0
2021-12-18,23.33908333,75.13523317,10.442052,0.0
2021-12-19,23.21825,80.237824,8.776472208,0.0
2021-12-20,23.77033333,77.650885,10.09401893,0.0
2021-12-21,23.43075,78.64829154,9.806928329,0.0
2021-12-22,23.83908333,69.90823412,9.665241729,0.0
2021-12-23,23.4995,70.49419996,10.23217327,0.0
2021-12-24,23.57866667,68.55574179,8.667922483,0.0
2021-12-25,23.01616667,74.56690367,7.531617604,0.0
2021-12-26,22.887,76.43663542,8.030961246,0.0
2021-12-27,22.49741667,76.03542546,7.984186958,0.0
2021-12-28,21.76408333,84.36204954,7.716213838,0.0
2021-12-29,21.86616667,81.23663858,8.743874858,0.0
2021-12-30,22.73908333,76.30084638,10.67311998,0.0
2021-12-31,23.25575,73.97567238,8.785705371,0.0
2022-01-01,23.112,72.65388613,11.62153343,0.0
2022-02-01,22.81616667,65.10401533,13.6853135,0.0
2022-03-01,23.74741667,67.01277713,11.8743423,0.0
2022-04-01,24.94325,66.07702317,11.63455901,0.0
2022-05-01,24.90366667,63.64176129,10.31289587,0.0
2022-06-01,24.987,65.847885,9.0986584,0.0
2022-07-01,25.00366667,70.19122367,9.109005954,0.0
2022-08-01,25.00783333,72.25976138,8.621320021,0.0
2022-09-01,24.14533333,81.62498175,7.772501592,0.0
2022-10-01,23.48075,79.3754875,9.231130967,0.0
2022-11-01,23.59116667,81.12174296,6.867896017,0.025
2022-12-01,22.47658333,81.85406542,8.099134304,0.070833333
2022-01-13,21.012,55.14490088,14.8882211,0.0
2022-01-14,19.50575,60.91240667,13.35604811,0.0
2022-01-15,20.36199996,67.93480367,9.689440604,0.0
2022-01-16,20.77033333,69.71359896,10.93014816,0.0
2022-01-17,20.79116665,75.17576913,7.369403062,0.0
2022-01-18,21.74741667,73.91775354,9.396716438,0.0
2022-01-19,22.83491667,66.20062438,11.69198289,0.0
2022-01-20,24.50991667,58.2059535,11.66238743,0.0
2022-01-21,24.83075,64.43272242,10.18855275,0.0
2022-01-22,23.9495,68.55587013,10.79021535,0.0
2022-01-23,23.54116667,69.06267921,10.02453475,0.0
2022-01-24,22.75158333,73.41464183,9.552484142,0.0
2022-01-25,22.97658333,84.2781895,7.484756733,0.0
2022-01-26,23.96616667,74.77680425,14.79687253,0.058333333
2022-01-27,20.28283333,61.76771517,14.65774913,0.0
2022-01-28,19.36824996,53.09860646,13.33300969,0.0
2022-01-29,20.05158331,56.03617683,11.57184163,0.0
2022-01-30,21.212,54.25020354,11.81214256,0.0
2022-01-31,22.73491667,51.26725279,11.79269216,0.0
2022-01-02,23.45366667,47.546813,12.62883448,0.0
2022-02-02,23.00366667,50.09485904,11.05874261,0.0
2022-03-02,22.60158333,56.06069725,9.711597529,0.0
2022-04-02,22.23283333,56.89975954,10.95943045,0.0
2022-05-02,22.17658333,69.24253696,11.65457317,0.0
2022-06-02,21.89325,80.30618625,9.859834225,0.0
2022-07-02,22.45575,83.69896604,7.7506484,0.0
2022-08-02,21.51616667,74.32672604,8.022540763,0.0
2022-09-02,21.73491663,67.32353742,10.23220784,0.0
2022-10-02,22.087,73.53840754,10.16535962,0.0
2022-11-02,21.83491667,80.83818517,11.1869042,0.0
2022-12-02,21.63491667,80.04128413,9.951306521,0.0
2022-02-13,22.05575,73.49187925,12.29403963,0.0
2022-02-14,24.41616667,50.38511912,14.31432883,0.0
2022-02-15,25.48075013,45.20636908,13.76467983,0.0
2022-02-16,24.21825,53.62179433,11.67536475,0.0
2022-02-17,23.73908333,61.69812442,10.63243472,0.0
2022-02-18,24.05158333,50.25214612,11.8112499,0.0
2022-02-19,22.78075,71.89627962,10.8288561,0.0
2022-02-20,22.18908333,80.52458521,9.020065625,0.0
2022-02-21,22.41825,80.63335217,6.392504099,0.0
2022-02-22,22.987,77.02711642,7.86168525,0.0
2022-02-23,24.13075,73.98857042,9.882416663,0.0
2022-02-24,24.37033333,59.28873492,12.17187425,0.0
2022-02-25,24.04325,55.47887079,12.57929415,0.0
2022-02-26,23.90366667,68.06692529,10.20512541,0.0
2022-02-27,24.54533333,63.60535817,11.43610165,0.0
2022-02-28,25.57658333,58.2809875,11.58359901,0.0
2022-01-03,25.0495,59.56265613,12.36890012,0.0
2022-02-03,25.04116667,58.25684638,12.8362104,0.0
2022-03-03,25.23075,53.52409483,12.2872742,0.0
2022-04-03,25.95366667,48.16288883,11.60518375,0.0
2022-05-03,26.18075,53.56817758,11.48839493,0.0
2022-06-03,27.16616704,48.1198475,11.61447906,0.0
2022-07-03,28.22033333,38.54930092,15.50911017,0.0
2022-08-03,27.30575,40.4357335,15.61220899,0.0
2022-09-03,26.97866704,49.41032783,11.32868722,0.0
2022-10-03,27.75366692,51.77247038,11.78812185,0.0
2022-11-03,28.10158358,53.9350605,11.08514121,0.0
2022-12-03,28.887,51.86808471,12.87078298,0.0
2022-03-13,28.40575012,55.28816371,9.419220075,0.004166667
2022-03-14,28.42450025,53.23506733,11.03629309,0.0
2022-03-15,28.36200025,52.41659512,9.386333079,0.0
2022-03-16,28.58283383,55.332451,9.99047965,0.0
2022-03-17,29.36616692,38.25995438,13.53886594,0.0
2022-03-18,29.43908358,37.89898004,12.15896426,0.0
2022-03-19,29.95991692,44.45948075,13.98700993,0.0
2022-03-20,29.94533358,44.18696675,14.1718854,0.0
2022-03-21,29.86616704,48.85759867,12.66258617,0.0
2022-03-22,29.36200037,53.66839679,13.68842566,0.0
2022-03-23,27.937,72.49736392,9.536358104,0.0
2022-03-24,26.70366667,82.03674304,9.847337967,0.0
2022-03-25,27.51616667,67.23607175,13.40466853,0.0
2022-03-26,29.86825038,41.84046983,14.60086315,0.0
2022-03-27,30.88700063,30.3833921,15.62348299,0.0
2022-03-28,28.19325013,56.28335988,8.424336025,0.0
2022-03-29,27.65366667,74.69576713,8.170010346,0.0
2022-03-30,27.69325025,78.53377146,8.145409708,0.0
2022-03-31,27.65991679,78.04216263,9.356478796,0.0
2022-01-04,27.57033346,80.29868475,10.2451639,0.0
2022-02-04,28.75366679,66.55686875,11.7020934,0.0
2022-03-04,27.9245005,70.51086617,10.25382722,0.0
2022-04-04,26.72033333,76.15301888,8.497083742,0.0
2022-05-04,27.00783358,75.58659813,9.282750425,0.0
2022-06-04,27.16408333,78.36008208,7.288166954,0.0
2022-07-04,27.68908333,79.290035,9.963118817,0.0
2022-08-04,28.02033333,82.10884792,9.702100379,0.0
2022-09-04,28.36200012,81.20740254,10.32371198,0.0
2022-10-04,28.47866667,80.61213454,10.35926265,0.0
2022-11-04,28.46825025,80.85188921,8.338788286,0.0
2022-12-04,28.85366704,79.37134808,11.12496655,0.0
2022-04-13,28.59325,81.34753029,9.019487704,0.0
2022-04-14,29.0495,72.14106117,9.298413971,0.0
2022-04-15,28.42450012,77.25360046,9.618574242,0.0
2022-04-16,28.80575025,72.76710633,11.70425818,0.0
2022-04-17,29.69116717,68.5215285,12.4095443,0.0
2022-04-18,28.74325013,78.49844633,9.986978621,0.0
2022-04-19,28.162,74.78637725,8.571398179,0.0
2022-04-20,27.787,79.22681379,9.841759642,0.0
2022-04-21,28.26616667,75.46136575,9.802881508,0.0
2022-04-22,28.14533333,76.75280892,9.596287988,0.0
2022-04-23,28.39116679,78.52053754,11.30837093,0.0
2022-04-24,29.93700013,68.18303996,14.6420386,0.0
2022-04-25,32.05575038,50.19384146,17.136418,0.0
2022-04-26,31.31825038,59.26868821,10.52215293,0.0
2022-04-27,30.9557505,71.62683475,8.595279246,0.0
2022-04-28,29.85991729,76.76592896,10.89623241,0.0
2022-04-29,31.17241692,58.07258267,11.95852485,0.0
2022-04-30,30.18283383,69.26825146,12.34310906,0.0
2022-01-05,31.24533383,57.03987517,13.66648065,0.0
2022-02-05,31.25158383,66.96879254,10.61957341,0.0
2022-03-05,29.97866717,77.77937713,12.6824936,0.0
2022-04-05,29.55991679,77.26778863,10.07105955,0.0
2022-05-05,29.84116704,77.73897296,10.06780654,0.0
2022-06-05,29.95158358,76.62250996,10.51444548,0.0
2022-07-05,30.04116717,75.65555025,10.39735452,0.0
2022-08-05,29.19950025,76.76942621,9.638826663,0.0
2022-09-05,29.13283346,79.46981704,12.89886951,0.0
2022-10-05,29.26825,77.62855017,12.12765205,0.004166667
2022-11-05,29.48908358,79.13078413,11.09723495,0.0
2022-12-05,29.82450038,80.26873025,12.38736791,0.0
2022-05-13,29.90575012,77.44709563,13.64619953,0.0
2022-05-14,29.90783358,76.33071517,12.70745813,0.0
2022-05-15,30.05575038,73.44113708,13.48749205,0.0
2022-05-16,30.02866679,71.6368535,14.50082565,0.0
2022-05-17,29.88283333,71.29938613,13.15681972,0.0
2022-05-18,30.02241679,70.97242446,12.76597425,0.0
2022-05-19,29.95158383,72.89611817,11.91797183,0.0
